scenario_id,baseline_target_id,candidate_present,internally_stable,scenario_target_id,total_score,rank,rank_percentile,centroid_shift_m,geometry_coverage,stable_geometry_coverage,geometry_present_25,geometry_present_50,stable_geometry_present_25
adjacency_loose,T042,True,False,T042,0.5005330819755696,13.0,0.7931034482758621,0.0,1.0,0.0,True,True,False
adjacency_loose,T043,True,False,T043,0.5128273678385169,9.0,0.8620689655172413,0.0,1.0,0.0,True,True,False
adjacency_loose,T044,True,False,T044,0.4943718634340491,17.0,0.7241379310344828,0.0,1.0,0.0,True,True,False
adjacency_loose,T045,True,False,T045,0.4506776393358284,48.0,0.18965517241379315,0.0,1.0,0.0,True,True,False
adjacency_loose,T046,True,False,T046,0.5040431804190943,10.0,0.8448275862068966,0.0,1.0,0.0,True,True,False
adjacency_loose,T047,True,False,T047,0.4962564852167774,15.0,0.7586206896551724,0.0,1.0,0.0,True,True,False
adjacency_loose,T048,True,True,T048,0.5472932900986838,2.0,0.9827586206896551,0.0,1.0,1.0,True,True,True
adjacency_loose,T049,True,False,T049,0.452230014115589,45.0,0.24137931034482762,0.0,1.0,0.0,True,True,False
adjacency_loose,T050,True,False,T050,0.4518850693697288,46.0,0.22413793103448276,0.0,1.0,0.0,True,True,False
adjacency_loose,T051,True,False,T051,0.4804334868151205,21.0,0.6551724137931034,0.0,1.0,0.0,True,True,False
adjacency_loose,T052,True,False,T052,0.4559657262164163,42.0,0.2931034482758621,0.0,1.0,0.0,True,True,False
adjacency_loose,T053,True,True,T053,0.5292568118859249,4.0,0.9482758620689655,0.0,1.0,1.0,True,True,True
adjacency_loose,T054,True,False,T054,0.4784651114013848,24.0,0.603448275862069,0.0,1.0,0.0,True,True,False
adjacency_loose,T055,True,False,T055,0.4462633538164318,50.0,0.15517241379310343,0.0,1.0,0.0,True,True,False
adjacency_loose,T056,True,False,T056,0.4990702811231732,14.0,0.7758620689655172,0.0,1.0,0.0,True,True,False
adjacency_loose,T057,True,False,T057,0.4759400698537117,25.0,0.5862068965517242,0.0,1.0,0.0,True,True,False
adjacency_loose,T058,True,False,T058,0.4665648597070382,29.0,0.5172413793103448,0.0,1.0,0.0,True,True,False
adjacency_loose,T059,True,False,T059,0.4634073017706811,32.0,0.4655172413793104,0.0,1.0,0.0,True,True,False
matching_tight,T001,False,False,,,,,,0.0,0.0,False,False,False
matching_tight,T002,False,False,,,,,,0.0,0.0,False,False,False
matching_tight,T003,False,False,,,,,,0.0,0.0,False,False,False
matching_tight,T004,True,False,T001,0.448720029616971,50.0,0.0,2545.5844122709127,0.5,0.0,True,True,False
matching_tight,T005,True,False,T002,0.4639813915084321,33.0,0.34693877551020413,300.0000000009313,0.9,0.0,True,True,False
matching_tight,T006,True,False,T003,0.4574681742039177,42.0,0.16326530612244894,0.0,1.0,0.0,True,True,False
matching_tight,T007,True,False,T004,0.4558944792691649,43.0,0.1428571428571429,0.0,1.0,0.0,True,True,False
matching_tight,T008,True,False,T005,0.4731831673822773,27.0,0.4693877551020408,2771.4185067397275,0.8571428571428571,0.0,True,True,False
matching_tight,T009,True,False,T006,0.457483236867523,41.0,0.18367346938775508,4883.646178831571,0.8,0.0,True,True,False
matching_tight,T010,False,False,,,,,,1.0,0.0,True,True,False
matching_tight,T011,True,False,T007,0.4491461612259788,49.0,0.020408163265306145,942.809041584478,0.6666666666666666,0.0,True,True,False
matching_tight,T012,True,False,T008,0.4759155432343013,24.0,0.5306122448979591,2751.54872901489,0.9285714285714286,0.0,True,True,False
matching_tight,T013,True,False,T009,0.4691696850315564,30.0,0.40816326530612246,7794.555923255701,0.4444444444444444,0.0,True,False,False
matching_tight,T014,False,False,,,,,,0.0,0.0,False,False,False
matching_tight,T015,False,False,,,,,,0.9166666666666666,0.0,True,True,False
matching_tight,T016,True,False,T010,0.4615125530792631,34.0,0.326530612244898,2525.8971178570464,1.0,0.0,True,True,False
matching_tight,T017,True,False,T012,0.4531815559320641,45.0,0.10204081632653061,5253.278859483964,1.0,0.0,True,True,False
matching_tight,T018,True,False,T015,0.4798950608479571,23.0,0.5510204081632653,6989.1369339699395,1.0,0.0,True,True,False
matching_tight,T019,False,False,,,,,,0.5,0.0,True,True,False
matching_tight,T020,True,False,T011,0.5010702056360937,15.0,0.7142857142857143,4898.549287698945,0.8666666666666667,0.2,True,True,False
matching_tight,T021,True,False,T014,0.471686679709833,28.0,0.44897959183673475,948.6832980505138,0.8,0.0,True,True,False
matching_tight,T022,True,False,T013,0.4906629997341575,20.0,0.6122448979591837,4986.795062962877,0.6,0.05,True,True,False
matching_tight,T023,False,False,,,,,,0.5,0.0,True,True,False
matching_tight,T024,False,False,,,,,,1.0,0.0,True,True,False
