centroid_x,centroid_y,period_count,supporting_periods,node_ids_json,network_criticality,removal_impact,period_persistence,parameter_stability,total_score,any_top20,ambiguous_match_count,match_id,geometry_wkt
15450975.39,5021390.548,1,印支燕山期,"{""印支燕山期"": 2373}",0.3239942528735632,0.0,0.0,0.0,0.11339798850574712,False,0,M03300,"POLYGON ((15449475.39 5022890.548, 15452475.39 5022890.548, 15452475.39 5019890.548, 15449475.39 5019890.548, 15449475.39 5022890.548))"
15453975.39,5021390.548,1,印支燕山期,"{""印支燕山期"": 2433}",0.4074712643678161,0.0,0.0,0.0,0.14261494252873563,False,0,M03301,"POLYGON ((15452475.39 5022890.548, 15455475.39 5022890.548, 15455475.39 5019890.548, 15452475.39 5019890.548, 15452475.39 5022890.548))"
15456975.39,5021390.548,1,印支燕山期,"{""印支燕山期"": 2493}",0.3529597701149425,0.0,0.0,0.0,0.12353591954022987,False,0,M03302,"POLYGON ((15455475.39 5022890.548, 15458475.39 5022890.548, 15458475.39 5019890.548, 15455475.39 5019890.548, 15455475.39 5022890.548))"
15459975.39,5021390.548,1,印支燕山期,"{""印支燕山期"": 2553}",0.5545114942528735,0.0,0.0,0.0,0.1940790229885057,False,0,M03303,"POLYGON ((15458475.39 5022890.548, 15461475.39 5022890.548, 15461475.39 5019890.548, 15458475.39 5019890.548, 15458475.39 5022890.548))"
15462975.39,5021390.548,1,印支燕山期,"{""印支燕山期"": 2613}",0.7614942528735632,0.0,0.0,0.6666666666666666,0.3665229885057471,True,0,M03304,"POLYGON ((15461475.39 5022890.548, 15464475.39 5022890.548, 15464475.39 5019890.548, 15461475.39 5019890.548, 15461475.39 5022890.548))"
15465975.39,5021390.548,1,印支燕山期,"{""印支燕山期"": 2673}",0.7972988505747126,0.0,0.0,1.0,0.4290545977011494,True,0,M03305,"POLYGON ((15464475.39 5022890.548, 15467475.39 5022890.548, 15467475.39 5019890.548, 15464475.39 5019890.548, 15464475.39 5022890.548))"
15468975.39,5021390.548,1,印支燕山期,"{""印支燕山期"": 2733}",0.8154022988505747,0.0,0.0,0.6666666666666666,0.3853908045977011,True,0,M03306,"POLYGON ((15467475.39 5022890.548, 15470475.39 5022890.548, 15470475.39 5019890.548, 15467475.39 5019890.548, 15467475.39 5022890.548))"
15471975.39,5021390.548,1,印支燕山期,"{""印支燕山期"": 2793}",0.9208908045977012,0.0,0.0,0.6666666666666666,0.4223117816091954,True,0,M03307,"POLYGON ((15470475.39 5022890.548, 15473475.39 5022890.548, 15473475.39 5019890.548, 15470475.39 5019890.548, 15470475.39 5022890.548))"
15474975.39,5021390.548,1,印支燕山期,"{""印支燕山期"": 2853}",0.2696839080459769,0.0,0.0,0.0,0.09438936781609192,False,0,M03308,"POLYGON ((15473475.39 5022890.548, 15476475.39 5022890.548, 15476475.39 5019890.548, 15473475.39 5019890.548, 15473475.39 5022890.548))"
15477975.39,5021390.548,1,印支燕山期,"{""印支燕山期"": 2913}",0.4221551724137931,0.0,0.0,0.0,0.14775431034482756,False,0,M03309,"POLYGON ((15476475.39 5022890.548, 15479475.39 5022890.548, 15479475.39 5019890.548, 15476475.39 5019890.548, 15476475.39 5022890.548))"
15480975.39,5021390.548,1,印支燕山期,"{""印支燕山期"": 2973}",0.2224137931034482,0.0,0.0,0.0,0.07784482758620687,False,0,M03310,"POLYGON ((15479475.39 5022890.548, 15482475.39 5022890.548, 15482475.39 5019890.548, 15479475.39 5019890.548, 15479475.39 5022890.548))"
15483975.39,5021390.548,1,印支燕山期,"{""印支燕山期"": 3033}",0.1962643678160919,0.0,0.0,0.0,0.06869252873563217,False,0,M03311,"POLYGON ((15482475.39 5022890.548, 15485475.39 5022890.548, 15485475.39 5019890.548, 15482475.39 5019890.548, 15482475.39 5022890.548))"
15486975.39,5021390.548,1,印支燕山期,"{""印支燕山期"": 3093}",0.2473563218390804,0.0,0.0,0.0,0.08657471264367814,False,0,M03312,"POLYGON ((15485475.39 5022890.548, 15488475.39 5022890.548, 15488475.39 5019890.548, 15485475.39 5019890.548, 15485475.39 5022890.548))"
15489975.39,5021390.548,1,印支燕山期,"{""印支燕山期"": 3153}",0.7960919540229885,0.0,0.0,1.0,0.4286321839080459,True,0,M03313,"POLYGON ((15488475.39 5022890.548, 15491475.39 5022890.548, 15491475.39 5019890.548, 15488475.39 5019890.548, 15488475.39 5022890.548))"
15492975.39,5021390.548,1,印支燕山期,"{""印支燕山期"": 3213}",0.3344540229885057,0.0,0.0,0.0,0.11705890804597698,False,0,M03314,"POLYGON ((15491475.39 5022890.548, 15494475.39 5022890.548, 15494475.39 5019890.548, 15491475.39 5019890.548, 15491475.39 5022890.548))"
15495975.39,5021390.548,1,印支燕山期,"{""印支燕山期"": 3273}",0.3282183908045977,0.0,0.0,0.0,0.11487643678160918,False,0,M03315,"POLYGON ((15494475.39 5022890.548, 15497475.39 5022890.548, 15497475.39 5019890.548, 15494475.39 5019890.548, 15494475.39 5022890.548))"
15498975.39,5021390.548,1,印支燕山期,"{""印支燕山期"": 3333}",0.3060919540229885,0.0,0.0,0.0,0.10713218390804596,False,0,M03316,"POLYGON ((15497475.39 5022890.548, 15500475.39 5022890.548, 15500475.39 5019890.548, 15497475.39 5019890.548, 15497475.39 5022890.548))"
15501975.39,5021390.548,1,印支燕山期,"{""印支燕山期"": 3393}",0.2543965517241379,0.0,0.0,0.0,0.08903879310344825,False,0,M03317,"POLYGON ((15500475.39 5022890.548, 15503475.39 5022890.548, 15503475.39 5019890.548, 15500475.39 5019890.548, 15500475.39 5022890.548))"
15335438.105,5021384.4325,2,喜山期|海西期,"{""喜山期"": 22, ""海西期"": 95}",0.19764943458555084,0.0,0.5,0.0,0.19417730210494277,False,0,M03318,"POLYGON ((15334126.94 5022944.148, 15337126.94 5022944.148, 15337126.94 5019944.148, 15334126.94 5019944.148, 15334126.94 5022944.148))"
15338438.105,5021384.4325,2,喜山期|海西期,"{""喜山期"": 71, ""海西期"": 156}",0.27961069366545405,0.0,0.5,0.0,0.2228637427829089,False,0,M03319,"POLYGON ((15337126.94 5022944.148, 15340126.94 5022944.148, 15340126.94 5019944.148, 15337126.94 5019944.148, 15337126.94 5022944.148))"
15341438.105,5021384.4325,2,喜山期|海西期,"{""喜山期"": 120, ""海西期"": 217}",0.45339939576245814,0.0,0.5,0.0,0.28368978851686033,False,0,M03320,"POLYGON ((15340126.94 5022944.148, 15343126.94 5022944.148, 15343126.94 5019944.148, 15340126.94 5019944.148, 15340126.94 5022944.148))"
15344438.105,5021384.4325,2,喜山期|海西期,"{""喜山期"": 169, ""海西期"": 278}",0.636957189245889,0.0,0.5,0.3333333333333333,0.39793501623606115,True,0,M03321,"POLYGON ((15343126.94 5022944.148, 15346126.94 5022944.148, 15346126.94 5019944.148, 15343126.94 5019944.148, 15343126.94 5022944.148))"
15347438.105,5021384.4325,2,喜山期|海西期,"{""喜山期"": 218, ""海西期"": 339}",0.5844080092662092,0.0,0.5,0.5,0.4045428032431732,True,0,M03322,"POLYGON ((15346126.94 5022944.148, 15349126.94 5022944.148, 15349126.94 5019944.148, 15346126.94 5019944.148, 15346126.94 5022944.148))"
15350438.105,5021384.4325,2,喜山期|海西期,"{""喜山期"": 267, ""海西期"": 400}",0.3337985041196251,0.0,0.5,0.0,0.24182947644186875,False,0,M03323,"POLYGON ((15349126.94 5022944.148, 15352126.94 5022944.148, 15352126.94 5019944.148, 15349126.94 5019944.148, 15349126.94 5022944.148))"
15353438.105,5021384.4325,2,喜山期|海西期,"{""喜山期"": 316, ""海西期"": 461}",0.34134654900260214,0.0,0.5,0.0,0.24447129215091074,False,0,M03324,"POLYGON ((15352126.94 5022944.148, 15355126.94 5022944.148, 15355126.94 5019944.148, 15352126.94 5019944.148, 15352126.94 5022944.148))"
15356438.105,5021384.4325,2,喜山期|海西期,"{""喜山期"": 365, ""海西期"": 522}",0.37313381795297196,0.0,0.5,0.0,0.2555968362835402,False,0,M03325,"POLYGON ((15355126.94 5022944.148, 15358126.94 5022944.148, 15358126.94 5019944.148, 15355126.94 5019944.148, 15355126.94 5022944.148))"
