centroid_x,centroid_y,period_count,supporting_periods,node_ids_json,network_criticality,removal_impact,period_persistence,parameter_stability,total_score,any_top20,ambiguous_match_count,match_id,target_cluster,target_id,geometry_wkt
15439612.33,5090357.6325,2,印支燕山期|海西期,"{""印支燕山期"": 2110, ""海西期"": 2207}",0.6836880275651283,0.0,0.5,0.5,0.4392908096477949,True,0,M00685,2,T002,"POLYGON ((15437475.39 5091890.548, 15440475.39 5091890.548, 15440475.39 5088890.548, 15437475.39 5088890.548, 15437475.39 5091890.548))"
15442612.33,5090357.6325,2,印支燕山期|海西期,"{""印支燕山期"": 2170, ""海西期"": 2268}",0.8748266680080354,0.0,0.5,1.0,0.5811893338028123,True,0,M00686,2,T002,"POLYGON ((15440475.39 5091890.548, 15443475.39 5091890.548, 15443475.39 5088890.548, 15440475.39 5088890.548, 15440475.39 5091890.548))"
15389438.105,5078384.4325,2,喜山期|海西期,"{""喜山期"": 885, ""海西期"": 1174}",0.6738486329148,0.0,0.5,0.5,0.43584702152018,True,0,M01132,3,T004,"POLYGON ((15388126.94 5079944.148, 15391126.94 5079944.148, 15391126.94 5076944.148, 15388126.94 5076944.148, 15388126.94 5079944.148))"
15392438.105,5078384.4325,2,喜山期|海西期,"{""喜山期"": 934, ""海西期"": 1235}",0.6779506147379324,0.0,0.5,0.5,0.4372827151582763,True,0,M01133,3,T004,"POLYGON ((15391126.94 5079944.148, 15394126.94 5079944.148, 15394126.94 5076944.148, 15391126.94 5076944.148, 15391126.94 5079944.148))"
15395438.105,5078384.4325,2,喜山期|海西期,"{""喜山期"": 983, ""海西期"": 1296}",0.6778689295580473,0.0,0.5,0.5,0.43725412534531655,True,0,M01134,3,T004,"POLYGON ((15394126.94 5079944.148, 15397126.94 5079944.148, 15397126.94 5076944.148, 15394126.94 5076944.148, 15394126.94 5079944.148))"
15392438.105,5075384.4325,2,喜山期|海西期,"{""喜山期"": 935, ""海西期"": 1236}",0.677076625095864,0.0,0.5,0.5,0.4369768187835524,True,0,M01249,3,T004,"POLYGON ((15391126.94 5076944.148, 15394126.94 5076944.148, 15394126.94 5073944.148, 15391126.94 5073944.148, 15391126.94 5076944.148))"
15395438.105,5075384.4325,2,喜山期|海西期,"{""喜山期"": 984, ""海西期"": 1297}",0.7004064486823378,0.0,0.5,0.5,0.4451422570388182,True,0,M01250,3,T004,"POLYGON ((15394126.94 5076944.148, 15397126.94 5076944.148, 15397126.94 5073944.148, 15394126.94 5073944.148, 15394126.94 5076944.148))"
15398438.105,5075384.4325,2,喜山期|海西期,"{""喜山期"": 1033, ""海西期"": 1358}",0.7035370523518338,0.0,0.5,0.5,0.44623796832314183,True,0,M01251,3,T004,"POLYGON ((15397126.94 5076944.148, 15400126.94 5076944.148, 15400126.94 5073944.148, 15397126.94 5073944.148, 15397126.94 5076944.148))"
15401438.105,5075384.4325,2,喜山期|海西期,"{""喜山期"": 1082, ""海西期"": 1419}",0.690688210324565,0.0,0.5,0.5,0.44174087361359776,True,0,M01252,3,T004,"POLYGON ((15400126.94 5076944.148, 15403126.94 5076944.148, 15403126.94 5073944.148, 15400126.94 5073944.148, 15400126.94 5076944.148))"
15395438.105,5072384.4325,2,喜山期|海西期,"{""喜山期"": 985, ""海西期"": 1298}",0.6996844436140961,0.0,0.5,0.5,0.4448895552649336,True,0,M01366,3,T004,"POLYGON ((15394126.94 5073944.148, 15397126.94 5073944.148, 15397126.94 5070944.148, 15394126.94 5070944.148, 15394126.94 5073944.148))"
