target_id,target_level,centroid_x,centroid_y,area,total_score,network_criticality,removal_impact,period_persistence,parameter_stability,supporting_periods,cell_count,evidence_status,recommendation_reason,limitations,geometry_wkt
T001,不稳定候选,15439612.33,5112857.6325,54000000.0,0.4789502917909561,0.7612865479741605,0.0,0.5,0.5833333333333334,印支燕山期|海西期,6,internal_partial,由6个高值网格组成；支持时期为印支燕山期|海西期；参数稳定率0.58。,['尚未接入井位、储层或专家盲评外部证据'],"POLYGON ((15443475.39 5109890.548, 15440475.39 5109890.548, 15437475.39 5109890.548, 15434475.39 5109890.548, 15434475.39 5112890.548, 15434475.39 5115890.548, 15437475.39 5115890.548, 15440475.39 5115890.548, 15443475.39 5115890.548, 15443475.39 5112890.548, 15443475.39 5109890.548))"
T002,一级,15441612.33,5091357.6325,27000000.0,0.5332391142534804,0.809254612152801,0.0,0.5,0.8333333333333334,印支燕山期|海西期,3,internal_supported,由3个高值网格组成；支持时期为印支燕山期|海西期；参数稳定率0.83。,['尚未接入井位、储层或专家盲评外部证据'],"POLYGON ((15440475.39 5091890.548, 15440475.39 5094890.548, 15443475.39 5094890.548, 15443475.39 5091890.548, 15443475.39 5088890.548, 15440475.39 5088890.548, 15437475.39 5088890.548, 15437475.39 5091890.548, 15440475.39 5091890.548))"
T003,一级,15422212.330000002,5090957.6325,45000000.0,0.525313392090076,0.8008954059716459,0.0,0.5,0.8,印支燕山期|海西期,5,internal_supported,由5个高值网格组成；支持时期为印支燕山期|海西期；参数稳定率0.80。,['尚未接入井位、储层或专家盲评外部证据'],"POLYGON ((15422475.39 5091890.548, 15425475.39 5091890.548, 15428475.39 5091890.548, 15428475.39 5088890.548, 15425475.39 5088890.548, 15422475.39 5088890.548, 15419475.39 5088890.548, 15416475.39 5088890.548, 15416475.39 5091890.548, 15416475.39 5094890.548, 15419475.39 5094890.548, 15419475.39 5091890.548, 15422475.39 5091890.548))"
T004,不稳定候选,15396038.104999999,5075384.432499999,90000000.0,0.44327017025057786,0.6950576292873653,0.0,0.5,0.5,喜山期|海西期,10,internal_partial,由10个高值网格组成；支持时期为喜山期|海西期；参数稳定率0.50。,['尚未接入井位、储层或专家盲评外部证据'],"POLYGON ((15403126.94 5070944.148, 15400126.94 5070944.148, 15397126.94 5070944.148, 15394126.94 5070944.148, 15394126.94 5073944.148, 15391126.94 5073944.148, 15391126.94 5076944.148, 15388126.94 5076944.148, 15388126.94 5079944.148, 15391126.94 5079944.148, 15394126.94 5079944.148, 15397126.94 5079944.148, 15397126.94 5076944.148, 15400126.94 5076944.148, 15403126.94 5076944.148, 15403126.94 5073944.148, 15403126.94 5070944.148))"
T005,不稳定候选,15444938.104999999,5061584.432499999,90000000.0,0.4632120997826603,0.759177427950458,0.0,0.5,0.4833333333333333,喜山期|海西期,10,internal_partial,由10个高值网格组成；支持时期为喜山期|海西期；参数稳定率0.48。,['尚未接入井位、储层或专家盲评外部证据'],"POLYGON ((15445126.94 5055944.148, 15445126.94 5058944.148, 15442126.94 5058944.148, 15439126.94 5058944.148, 15436126.94 5058944.148, 15436126.94 5061944.148, 15439126.94 5061944.148, 15442126.94 5061944.148, 15442126.94 5064944.148, 15445126.94 5064944.148, 15445126.94 5067944.148, 15448126.94 5067944.148, 15448126.94 5064944.148, 15451126.94 5064944.148, 15451126.94 5061944.148, 15451126.94 5058944.148, 15448126.94 5058944.148, 15448126.94 5055944.148, 15445126.94 5055944.148))"
T006,不稳定候选,15417938.105,5060384.4325,36000000.0,0.4574681742039177,0.7356233548683362,0.0,0.5,0.5,喜山期|海西期,4,internal_partial,由4个高值网格组成；支持时期为喜山期|海西期；参数稳定率0.50。,['尚未接入井位、储层或专家盲评外部证据'],"POLYGON ((15418126.94 5061944.148, 15421126.94 5061944.148, 15424126.94 5061944.148, 15424126.94 5058944.148, 15421126.94 5058944.148, 15418126.94 5058944.148, 15415126.94 5058944.148, 15412126.94 5058944.148, 15412126.94 5061944.148, 15415126.94 5061944.148, 15418126.94 5061944.148))"
T007,不稳定候选,15429938.105,5060384.4325,36000000.0,0.4558944792691649,0.7311270836261852,0.0,0.5,0.5,喜山期|海西期,4,internal_partial,由4个高值网格组成；支持时期为喜山期|海西期；参数稳定率0.50。,['尚未接入井位、储层或专家盲评外部证据'],"POLYGON ((15430126.94 5061944.148, 15433126.94 5061944.148, 15436126.94 5061944.148, 15436126.94 5058944.148, 15433126.94 5058944.148, 15430126.94 5058944.148, 15427126.94 5058944.148, 15424126.94 5058944.148, 15424126.94 5061944.148, 15427126.94 5061944.148, 15430126.94 5061944.148))"
T008,不稳定候选,15405723.81928571,5059741.575357142,126000000.0,0.4681537856693692,0.7661536733410551,0.0,0.5,0.5,喜山期|海西期,14,internal_partial,由14个高值网格组成；支持时期为喜山期|海西期；参数稳定率0.50。,['尚未接入井位、储层或专家盲评外部证据'],"POLYGON ((15403126.94 5058944.148, 15400126.94 5058944.148, 15400126.94 5061944.148, 15400126.94 5064944.148, 15400126.94 5067944.148, 15403126.94 5067944.148, 15406126.94 5067944.148, 15406126.94 5064944.148, 15406126.94 5061944.148, 15409126.94 5061944.148, 15412126.94 5061944.148, 15412126.94 5058944.148, 15412126.94 5055944.148, 15412126.94 5052944.148, 15409126.94 5052944.148, 15406126.94 5052944.148, 15403126.94 5052944.148, 15403126.94 5055944.148, 15403126.94 5058944.148))"
T009,不稳定候选,15381638.105,5054984.432500001,180000000.0,0.4633166527652139,0.7559047221863254,0.0,0.5,0.4916666666666667,喜山期|海西期,20,internal_partial,由20个高值网格组成；支持时期为喜山期|海西期；参数稳定率0.49。,['尚未接入井位、储层或专家盲评外部证据'],"POLYGON ((15379126.94 5049944.148, 15376126.94 5049944.148, 15373126.94 5049944.148, 15373126.94 5052944.148, 15373126.94 5055944.148, 15373126.94 5058944.148, 15376126.94 5058944.148, 15379126.94 5058944.148, 15379126.94 5055944.148, 15382126.94 5055944.148, 15382126.94 5058944.148, 15382126.94 5061944.148, 15382126.94 5064944.148, 15385126.94 5064944.148, 15388126.94 5064944.148, 15388126.94 5061944.148, 15388126.94 5058944.148, 15385126.94 5058944.148, 15385126.94 5055944.148, 15388126.94 5055944.148, 15391126.94 5055944.148, 15391126.94 5052944.148, 15388126.94 5052944.148, 15388126.94 5049944.148, 15385126.94 5049944.148, 15385126.94 5046944.148, 15382126.94 5046944.148, 15379126.94 5046944.148, 15379126.94 5049944.148))"
T010,不稳定候选,15396938.105,5054384.4325,36000000.0,0.46124808626526026,0.7464231036150293,0.0,0.5,0.5,喜山期|海西期,4,internal_partial,由4个高值网格组成；支持时期为喜山期|海西期；参数稳定率0.50。,['尚未接入井位、储层或专家盲评外部证据'],"POLYGON ((15397126.94 5055944.148, 15400126.94 5055944.148, 15403126.94 5055944.148, 15403126.94 5052944.148, 15400126.94 5052944.148, 15397126.94 5052944.148, 15394126.94 5052944.148, 15391126.94 5052944.148, 15391126.94 5055944.148, 15394126.94 5055944.148, 15397126.94 5055944.148))"
