scenario_id,baseline_target_id,candidate_present,internally_stable,scenario_target_id,total_score,rank,rank_percentile,centroid_shift_m,geometry_coverage,stable_geometry_coverage,geometry_present_25,geometry_present_50,stable_geometry_present_25
baseline,T001,True,False,T001,0.4789502917909561,35.0,0.575,0.0,1.0,0.0,True,True,False
baseline,T002,True,True,T002,0.5332391142534804,6.0,0.9375,0.0,1.0,1.0,True,True,True
baseline,T003,True,True,T003,0.525313392090076,9.0,0.9,0.0,1.0,1.0,True,True,True
baseline,T004,True,False,T004,0.4432701702505778,75.0,0.07499999999999996,0.0,1.0,0.0,True,True,False
baseline,T005,True,False,T005,0.4503711593573635,64.0,0.21250000000000002,0.0,1.0,0.0,True,True,False
baseline,T006,True,False,T006,0.4386850326879995,81.0,0.0,0.0,1.0,0.0,True,True,False
baseline,T007,True,False,T007,0.4632120997826603,47.0,0.42500000000000004,0.0,1.0,0.0,True,True,False
baseline,T008,True,False,T008,0.4574681742039177,57.0,0.30000000000000004,0.0,1.0,0.0,True,True,False
baseline,T009,True,False,T009,0.4558944792691649,59.0,0.275,0.0,1.0,0.0,True,True,False
baseline,T010,True,False,T010,0.4814907554033736,33.0,0.6,0.0,1.0,0.0,True,True,False
baseline,T011,True,False,T011,0.4704675423276167,41.0,0.5,0.0,1.0,0.0,True,True,False
baseline,T012,True,False,T012,0.4612480862652602,52.0,0.36250000000000004,0.0,1.0,0.0,True,True,False
baseline,T013,True,False,T013,0.4690232011740179,42.0,0.48750000000000004,0.0,1.0,0.0,True,True,False
baseline,T014,True,False,T014,0.4458121203915906,71.0,0.125,0.0,1.0,0.0,True,True,False
baseline,T015,True,False,T015,0.473695865723631,40.0,0.5125,0.0,1.0,0.0,True,True,False
baseline,T016,True,False,T016,0.4427419402137525,76.0,0.0625,0.0,1.0,0.0,True,True,False
baseline,T017,True,False,T017,0.44180546879842,78.0,0.03749999999999998,0.0,1.0,0.0,True,True,False
baseline,T018,True,True,T018,0.5037460287574079,18.0,0.7875,0.0,1.0,1.0,True,True,True
baseline,T019,True,False,T019,0.4589598166192085,56.0,0.3125,0.0,1.0,0.0,True,True,False
baseline,T020,True,False,T020,0.4625632816411688,48.0,0.4125,0.0,1.0,0.0,True,True,False
baseline,T021,True,False,T021,0.4657184883575986,45.0,0.44999999999999996,0.0,1.0,0.0,True,True,False
baseline,T022,True,False,T022,0.4434370877585274,74.0,0.08750000000000002,0.0,1.0,0.0,True,True,False
baseline,T023,True,False,T023,0.4854816711913849,28.0,0.6625,0.0,1.0,0.0,True,True,False
baseline,T024,True,False,T024,0.4486708553824126,66.0,0.1875,0.0,1.0,0.0,True,True,False
baseline,T025,True,False,T025,0.4975064127740858,21.0,0.75,0.0,1.0,0.0,True,True,False
baseline,T026,True,False,T026,0.4658482584622155,44.0,0.4625,0.0,1.0,0.0,True,True,False
