vertex1_x,vertex1_y,vertex2_x,vertex2_y,vertex3_x,vertex3_y,vertex4_x,vertex4_y,Area,Areal Frequency B20,Areal Frequency P20,Branch Mean Length,Branch Min Length,Branch Max Length,Connections per Branch,Connections per Trace,Connection Frequency,Dimensionless Intensity B22,Dimensionless Intensity P22,Fracture Density (Mauldon),Fracture Intensity B21,Fracture Intensity (Mauldon),Fracture Intensity P21,Number of Branches,Number of Branches (Real),Number of Traces,Number of Traces (Real),Trace Mean Length,Trace Min Length,Trace Max Length,1(NC/NB)Number of connected nodes per branch,2(NC/NL)Number of connected nodes per fault line,3(NB/NL)Number of branches per fault line,4(NC/A)Number of connected nodes per unit area,5(N_BA)Number of branch faults per unit area,6(N_LA)The number of fault lines per unit area
15332475.39,5055890.548,15335475.39,5055890.548,15335475.39,5052890.548,15332475.39,5052890.548,63515106.93,0,0,0,0,0,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15332475.39,5052890.548,15335475.39,5052890.548,15335475.39,5049890.548,15332475.39,5049890.548,63515106.93,0,0,0,0,0,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15332475.39,5049890.548,15335475.39,5049890.548,15335475.39,5046890.548,15332475.39,5046890.548,63515106.93,0,0,0,0,0,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15332475.39,5046890.548,15335475.39,5046890.548,15335475.39,5043890.548,15332475.39,5043890.548,63515106.93,0,0,0,355.8624706,355.8624706,0,0,0,0,0.001993826,,5.60E-06,,5.60E-06,0,1,0,1,355.8624706,355.8624706,355.8624706,0,0,0,0,0,0
15332475.39,5043890.548,15335475.39,5043890.548,15335475.39,5040890.548,15332475.39,5040890.548,63515106.93,0,0,0,5504.442444,5504.442444,0,0,0,0,0.477034332,,8.67E-05,,8.67E-05,0,1,0,1,5504.442444,5504.442444,5504.442444,0,0,0,0,0,0
15332475.39,5040890.548,15335475.39,5040890.548,15335475.39,5037890.548,15332475.39,5037890.548,63515106.93,0,0,0,6010.268061,6010.268061,0,0,0,0,0.56873591,,9.46E-05,,9.46E-05,0,1,0,1,6010.268061,6010.268061,6010.268061,0,0,0,0,0,0
15332475.39,5037890.548,15335475.39,5037890.548,15335475.39,5034890.548,15332475.39,5034890.548,63515106.93,0,0,0,1694.876858,1694.876858,0,0,0,0,0.045227155,,2.67E-05,,2.67E-05,0,1,0,1,1694.876858,1694.876858,1694.876858,0,0,0,0,0,0
15332475.39,5034890.548,15335475.39,5034890.548,15335475.39,5031890.548,15332475.39,5031890.548,63515106.93,0,0,0,0,0,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15332475.39,5031890.548,15335475.39,5031890.548,15335475.39,5028890.548,15332475.39,5028890.548,63515106.93,0,0,0,0,0,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15332475.39,5028890.548,15335475.39,5028890.548,15335475.39,5025890.548,15332475.39,5025890.548,63515106.93,0,0,0,0,0,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15332475.39,5025890.548,15335475.39,5025890.548,15335475.39,5022890.548,15332475.39,5022890.548,63515106.93,0,0,0,0,0,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15332475.39,5022890.548,15335475.39,5022890.548,15335475.39,5019890.548,15332475.39,5019890.548,63515106.93,0,0,0,0,0,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15332475.39,5019890.548,15335475.39,5019890.548,15335475.39,5016890.548,15332475.39,5016890.548,63515106.93,0,0,0,0,0,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15332475.39,5016890.548,15335475.39,5016890.548,15335475.39,5013890.548,15332475.39,5013890.548,63515106.93,0,0,0,0,0,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15332475.39,5013890.548,15335475.39,5013890.548,15335475.39,5010890.548,15332475.39,5010890.548,63515106.93,0,0,0,0,0,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
