vertex1_x,vertex1_y,vertex2_x,vertex2_y,vertex3_x,vertex3_y,vertex4_x,vertex4_y,Area,Areal Frequency B20,Areal Frequency P20,Branch Mean Length,Branch Min Length,Branch Max Length,Connections per Branch,Connections per Trace,Connection Frequency,Dimensionless Intensity B22,Dimensionless Intensity P22,Fracture Density (Mauldon),Fracture Intensity B21,Fracture Intensity (Mauldon),Fracture Intensity P21,Number of Branches,Number of Branches (Real),Number of Traces,Number of Traces (Real),Trace Mean Length,Trace Min Length,Trace Max Length,1(NC/NB)Number of connected nodes per branch,2(NC/NL)Number of connected nodes per fault line,3(NB/NL)Number of branches per fault line,4(NC/A)Number of connected nodes per unit area,5(NB/A)Number of branch faults per unit area ,6(NL/A)The number of fault lines per unit area 
15330749.27,5058824.717,15333749.27,5058824.717,15333749.27,5055824.717,15330749.27,5055824.717,63515106.93,0,0,0,0,0,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15330749.27,5055824.717,15333749.27,5055824.717,15333749.27,5052824.717,15330749.27,5052824.717,63515106.93,0,0,0,0,0,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15330749.27,5052824.717,15333749.27,5052824.717,15333749.27,5049824.717,15330749.27,5049824.717,63515106.93,0,0,0,0,0,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15330749.27,5049824.717,15333749.27,5049824.717,15333749.27,5046824.717,15330749.27,5046824.717,63515106.93,0,0,0,0,0,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15330749.27,5046824.717,15333749.27,5046824.717,15333749.27,5043824.717,15330749.27,5043824.717,63515106.93,0,0,0,0,0,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15330749.27,5043824.717,15333749.27,5043824.717,15333749.27,5040824.717,15330749.27,5040824.717,63515106.93,0,0,0,0,0,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15330749.27,5040824.717,15333749.27,5040824.717,15333749.27,5037824.717,15330749.27,5037824.717,63515106.93,0,0,0,0,0,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15330749.27,5037824.717,15333749.27,5037824.717,15333749.27,5034824.717,15330749.27,5034824.717,63515106.93,0,0,0,0,0,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15330749.27,5034824.717,15333749.27,5034824.717,15333749.27,5031824.717,15330749.27,5031824.717,63515106.93,0,0,0,0,0,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15330749.27,5031824.717,15333749.27,5031824.717,15333749.27,5028824.717,15330749.27,5028824.717,63515106.93,0,0,0,0,0,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15330749.27,5028824.717,15333749.27,5028824.717,15333749.27,5025824.717,15330749.27,5025824.717,63515106.93,0,0,0,0,0,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15330749.27,5025824.717,15333749.27,5025824.717,15333749.27,5022824.717,15330749.27,5022824.717,63515106.93,0,0,0,0,0,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15330749.27,5022824.717,15333749.27,5022824.717,15333749.27,5019824.717,15330749.27,5019824.717,63515106.93,0,0,0,0,0,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15330749.27,5019824.717,15333749.27,5019824.717,15333749.27,5016824.717,15330749.27,5016824.717,63515106.93,0,0,0,0,0,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15330749.27,5016824.717,15333749.27,5016824.717,15333749.27,5013824.717,15330749.27,5013824.717,63515106.93,0,0,0,0,0,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15330749.27,5013824.717,15333749.27,5013824.717,15333749.27,5010824.717,15330749.27,5010824.717,63515106.93,0,0,0,0,0,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15330749.27,5010824.717,15333749.27,5010824.717,15333749.27,5007824.717,15330749.27,5007824.717,63515106.93,0,0,0,2391.340706,2391.340706,0,0,0,0,0.090033862,,3.76E-05,,3.76E-05,0,1,0,1,2391.340706,2391.340706,2391.340706,0,0,0,0,0,0
15330749.27,5007824.717,15333749.27,5007824.717,15333749.27,5004824.717,15330749.27,5004824.717,63515106.93,0,0,0,3483.943265,3483.943265,0,0,0,0,0.191101948,,5.49E-05,,5.49E-05,0,1,0,1,3483.943265,3483.943265,3483.943265,0,0,0,0,0,0
15330749.27,5004824.717,15333749.27,5004824.717,15333749.27,5001824.717,15330749.27,5001824.717,63515106.93,0,0,0,1223.57943,1223.57943,0,0,0,0,0.023571504,,1.93E-05,,1.93E-05,0,1,0,1,1223.57943,1223.57943,1223.57943,0,0,0,0,0,0
15330749.27,5001824.717,15333749.27,5001824.717,15333749.27,4998824.717,15330749.27,4998824.717,63515106.93,0,0,0,0,0,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15330749.27,4998824.717,15333749.27,4998824.717,15333749.27,4995824.717,15330749.27,4995824.717,63515106.93,0,0,0,0,0,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15330749.27,4995824.717,15333749.27,4995824.717,15333749.27,4992824.717,15330749.27,4992824.717,63515106.93,0,0,0,1675.63659,1675.63659,0,0,0,0,0.044206144,,2.64E-05,,2.64E-05,0,1,0,1,1675.63659,1675.63659,1675.63659,0,0,0,0,0,0
15330749.27,4992824.717,15333749.27,4992824.717,15333749.27,4989824.717,15330749.27,4989824.717,63515106.93,0,0,0,244.8579298,6014.633882,0,0,0,0,0.308440348,,9.86E-05,,9.86E-05,0,2,0,2,3129.746132,244.8579298,6014.634334,0,0,0,0,0,0
15330749.27,4989824.717,15333749.27,4989824.717,15333749.27,4986824.717,15330749.27,4986824.717,63515106.93,3.15E-08,1.57E-08,6910.041802,2204.775133,4306.082895,1.5,2,1.57E-08,1.503537663,1.002358442,,0.000217587,,0.000217587,2,4,1,3,4606.694535,2204.775133,7502.668211,0.5,1,3.5,1,3.000000008,31757554.47
15330749.27,4986824.717,15333749.27,4986824.717,15333749.27,4983824.717,15330749.27,4983824.717,63515106.93,3.15E-08,1.57E-08,7486.696321,1937.808492,6980.552527,1.5,2,1.57E-08,1.764954024,1.176636016,,0.000235745,,0.000235745,2,4,1,3,4991.13088,2858.446239,6980.552527,0.5,1,3.5,1,3.000000008,31757554.47
15330749.27,4983824.717,15333749.27,4983824.717,15333749.27,4980824.717,15330749.27,4980824.717,63515106.93,7.87E-09,7.87E-09,21214.23213,2490.348693,8116.76735,0,0,0,3.542807898,0.885701974,,0.000167001,,0.000167001,0.5,2,0.5,2,5303.558033,2490.348716,8116.76735,0,0,1,0,7.87E-09,31757553.47
15330749.27,4980824.717,15333749.27,4980824.717,15333749.27,4977824.717,15330749.27,4977824.717,63515106.93,0,0,0,4746.773732,4746.773732,0,0,0,0,0.354748058,,7.47E-05,,7.47E-05,0,1,0,1,4746.773732,4746.773732,4746.773732,0,0,0,0,0,0
15330749.27,4977824.717,15333749.27,4977824.717,15333749.27,4974824.717,15330749.27,4974824.717,63515106.93,0,0,0,0,0,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15330749.27,4974824.717,15333749.27,4974824.717,15333749.27,4971824.717,15330749.27,4971824.717,63515106.93,7.87E-09,7.87E-09,6931.008279,3465.504139,3465.504139,0,0,0,0.378168896,0.189084448,,5.46E-05,,5.46E-05,0.5,1,0.5,1,3465.504139,3465.504139,3465.504139,0,0,1,0,7.87E-09,31757553.47
15330749.27,4971824.717,15333749.27,4971824.717,15333749.27,4968824.717,15330749.27,4968824.717,63515106.93,7.87E-09,7.87E-09,7747.003469,3873.501734,3873.501734,0,0,0,0.472455024,0.236227512,,6.10E-05,,6.10E-05,0.5,1,0.5,1,3873.501734,3873.501734,3873.501734,0,0,1,0,7.87E-09,31757553.47
15330749.27,4968824.717,15333749.27,4968824.717,15333749.27,4965824.717,15330749.27,4965824.717,63515106.93,7.87E-09,7.87E-09,4385.572455,2192.786228,2192.786228,0,0,0,0.15140686,0.07570343,,3.45E-05,,3.45E-05,0.5,1,0.5,1,2192.786228,2192.786228,2192.786228,0,0,1,0,7.87E-09,31757553.47
15330749.27,4965824.717,15333749.27,4965824.717,15333749.27,4962824.717,15330749.27,4962824.717,63515106.93,0,0,0,0,0,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15330749.27,4962824.717,15333749.27,4962824.717,15333749.27,4959824.717,15330749.27,4959824.717,63515106.93,0,0,0,0,0,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15330749.27,4959824.717,15333749.27,4959824.717,15333749.27,4956824.717,15330749.27,4956824.717,63515106.93,0,0,0,0,0,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15330749.27,4956824.717,15333749.27,4956824.717,15333749.27,4953824.717,15330749.27,4953824.717,63515106.93,0,0,0,0,0,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15330749.27,4953824.717,15333749.27,4953824.717,15333749.27,4950824.717,15330749.27,4950824.717,63515106.93,0,0,0,0,0,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15330749.27,4950824.717,15333749.27,4950824.717,15333749.27,4947824.717,15330749.27,4947824.717,63515106.93,0,0,0,0,0,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15330749.27,4947824.717,15333749.27,4947824.717,15333749.27,4944824.717,15330749.27,4944824.717,63515106.93,0,0,0,0,0,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15330749.27,4944824.717,15333749.27,4944824.717,15333749.27,4941824.717,15330749.27,4941824.717,63515106.93,0,0,0,0,0,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15333749.27,5124824.717,15336749.27,5124824.717,15336749.27,5121824.717,15333749.27,5121824.717,63515106.93,0,0,0,0,0,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15333749.27,5121824.717,15336749.27,5121824.717,15336749.27,5118824.717,15333749.27,5118824.717,63515106.93,0,0,0,0,0,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15333749.27,5118824.717,15336749.27,5118824.717,15336749.27,5115824.717,15333749.27,5115824.717,63515106.93,0,0,0,0,0,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15333749.27,5115824.717,15336749.27,5115824.717,15336749.27,5112824.717,15333749.27,5112824.717,63515106.93,0,0,0,0,0,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15333749.27,5112824.717,15336749.27,5112824.717,15336749.27,5109824.717,15333749.27,5109824.717,63515106.93,0,0,0,0,0,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15333749.27,5109824.717,15336749.27,5109824.717,15336749.27,5106824.717,15333749.27,5106824.717,63515106.93,0,0,0,0,0,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15333749.27,5106824.717,15336749.27,5106824.717,15336749.27,5103824.717,15333749.27,5103824.717,63515106.93,0,0,0,0,0,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15333749.27,5103824.717,15336749.27,5103824.717,15336749.27,5100824.717,15333749.27,5100824.717,63515106.93,0,0,0,0,0,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15333749.27,5100824.717,15336749.27,5100824.717,15336749.27,5097824.717,15333749.27,5097824.717,63515106.93,0,0,0,0,0,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15333749.27,5097824.717,15336749.27,5097824.717,15336749.27,5094824.717,15333749.27,5094824.717,63515106.93,0,0,0,0,0,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15333749.27,5094824.717,15336749.27,5094824.717,15336749.27,5091824.717,15333749.27,5091824.717,63515106.93,0,0,0,0,0,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15333749.27,5091824.717,15336749.27,5091824.717,15336749.27,5088824.717,15333749.27,5088824.717,63515106.93,0,0,0,0,0,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15333749.27,5088824.717,15336749.27,5088824.717,15336749.27,5085824.717,15333749.27,5085824.717,63515106.93,0,0,0,0,0,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15333749.27,5085824.717,15336749.27,5085824.717,15336749.27,5082824.717,15333749.27,5082824.717,63515106.93,0,0,0,0,0,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15333749.27,5082824.717,15336749.27,5082824.717,15336749.27,5079824.717,15333749.27,5079824.717,63515106.93,0,0,0,0,0,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15333749.27,5079824.717,15336749.27,5079824.717,15336749.27,5076824.717,15333749.27,5076824.717,63515106.93,0,0,0,0,0,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15333749.27,5076824.717,15336749.27,5076824.717,15336749.27,5073824.717,15333749.27,5073824.717,63515106.93,0,0,0,0,0,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15333749.27,5073824.717,15336749.27,5073824.717,15336749.27,5070824.717,15333749.27,5070824.717,63515106.93,0,0,0,0,0,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15333749.27,5070824.717,15336749.27,5070824.717,15336749.27,5067824.717,15333749.27,5067824.717,63515106.93,0,0,0,0,0,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15333749.27,5067824.717,15336749.27,5067824.717,15336749.27,5064824.717,15333749.27,5064824.717,63515106.93,0,0,0,0,0,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15333749.27,5064824.717,15336749.27,5064824.717,15336749.27,5061824.717,15333749.27,5061824.717,63515106.93,0,0,0,0,0,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15333749.27,5061824.717,15336749.27,5061824.717,15336749.27,5058824.717,15333749.27,5058824.717,63515106.93,0,0,0,0,0,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15333749.27,5058824.717,15336749.27,5058824.717,15336749.27,5055824.717,15333749.27,5055824.717,63515106.93,0,0,0,0,0,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15333749.27,5055824.717,15336749.27,5055824.717,15336749.27,5052824.717,15333749.27,5052824.717,63515106.93,0,0,0,0,0,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15333749.27,5052824.717,15336749.27,5052824.717,15336749.27,5049824.717,15333749.27,5049824.717,63515106.93,0,0,0,0,0,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15333749.27,5049824.717,15336749.27,5049824.717,15336749.27,5046824.717,15333749.27,5046824.717,63515106.93,0,0,0,0,0,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15333749.27,5046824.717,15336749.27,5046824.717,15336749.27,5043824.717,15333749.27,5043824.717,63515106.93,0,0,0,0,0,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15333749.27,5043824.717,15336749.27,5043824.717,15336749.27,5040824.717,15333749.27,5040824.717,63515106.93,0,0,0,0,0,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15333749.27,5040824.717,15336749.27,5040824.717,15336749.27,5037824.717,15333749.27,5037824.717,63515106.93,0,0,0,0,0,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15333749.27,5037824.717,15336749.27,5037824.717,15336749.27,5034824.717,15333749.27,5034824.717,63515106.93,0,0,0,0,0,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15333749.27,5034824.717,15336749.27,5034824.717,15336749.27,5031824.717,15333749.27,5031824.717,63515106.93,0,0,0,0,0,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
